origin_date,location,regime
2017-03-04,HHS Region 4,peaking
2017-03-04,HHS Region 5,peaking
2017-03-04,HHS Region 6,declining
2017-03-04,HHS Region 7,declining
2017-03-04,HHS Region 8,declining
2017-03-04,HHS Region 9,declining
2017-03-04,US National,declining
2017-03-11,HHS Region 1,declining
2017-03-11,HHS Region 10,declining
2017-03-11,HHS Region 2,declining
2017-03-11,HHS Region 3,declining
2017-03-11,HHS Region 4,peaking
2017-03-11,HHS Region 5,peaking
2017-03-11,HHS Region 6,declining
2017-03-11,HHS Region 7,declining
2017-03-11,HHS Region 8,declining
2017-03-11,HHS Region 9,declining
2017-03-11,US National,declining
2017-03-18,HHS Region 1,peaking
2017-03-18,HHS Region 10,peaking
2017-03-18,HHS Region 2,peaking
2017-03-18,HHS Region 3,peaking
2017-03-18,HHS Region 4,declining
2017-03-18,HHS Region 5,peaking
2017-03-18,HHS Region 6,declining
2017-03-18,HHS Region 7,peaking
2017-03-18,HHS Region 8,declining
2017-03-18,HHS Region 9,peaking
2017-03-18,US National,peaking
2017-03-25,HHS Region 1,declining
2017-03-25,HHS Region 10,declining
2017-03-25,HHS Region 2,declining
2017-03-25,HHS Region 3,declining
2017-03-25,HHS Region 4,peaking
2017-03-25,HHS Region 5,peaking
2017-03-25,HHS Region 6,declining
2017-03-25,HHS Region 7,declining
2017-03-25,HHS Region 8,declining
2017-03-25,HHS Region 9,declining
2017-03-25,US National,declining
2017-04-01,HHS Region 1,peaking
2017-04-01,HHS Region 10,declining
2017-04-01,HHS Region 2,declining
2017-04-01,HHS Region 3,declining
2017-04-01,HHS Region 4,peaking
2017-04-01,HHS Region 5,declining
2017-04-01,HHS Region 6,declining
2017-04-01,HHS Region 7,declining
2017-04-01,HHS Region 8,declining
2017-04-01,HHS Region 9,declining
2017-04-01,US National,declining
2017-04-08,HHS Region 1,peaking
2017-04-08,HHS Region 10,declining
2017-04-08,HHS Region 2,peaking
2017-04-08,HHS Region 3,declining
2017-04-08,HHS Region 4,peaking
2017-04-08,HHS Region 5,declining
2017-04-08,HHS Region 6,declining
2017-04-08,HHS Region 7,declining
2017-04-08,HHS Region 8,declining
2017-04-08,HHS Region 9,declining
2017-04-08,US National,declining
2017-04-15,HHS Region 1,peaking
2017-04-15,HHS Region 10,declining
2017-04-15,HHS Region 2,declining
2017-04-15,HHS Region 3,declining
2017-04-15,HHS Region 4,declining
2017-04-15,HHS Region 5,declining
2017-04-15,HHS Region 6,declining
2017-04-15,HHS Region 7,declining
2017-04-15,HHS Region 8,declining
2017-04-15,HHS Region 9,declining
2017-04-15,US National,declining
2017-04-22,HHS Region 1,peaking
2017-04-22,HHS Region 10,declining
2017-04-22,HHS Region 2,declining
2017-04-22,HHS Region 3,declining
2017-04-22,HHS Region 4,declining
2017-04-22,HHS Region 5,declining
2017-04-22,HHS Region 6,declining
2017-04-22,HHS Region 7,declining
2017-04-22,HHS Region 8,declining
2017-04-22,HHS Region 9,declining
2017-04-22,US National,declining
2017-04-29,HHS Region 1,declining
2017-04-29,HHS Region 10,declining
2017-04-29,HHS Region 2,declining
2017-04-29,HHS Region 3,declining
2017-04-29,HHS Region 4,declining
2017-04-29,HHS Region 5,declining
2017-04-29,HHS Region 6,declining
2017-04-29,HHS Region 7,declining
2017-04-29,HHS Region 8,declining
2017-04-29,HHS Region 9,declining
2017-04-29,US National,declining
2017-05-06,HHS Region 1,declining
2017-05-06,HHS Region 10,declining
2017-05-06,HHS Region 2,declining
2017-05-06,HHS Region 3,declining
2017-05-06,HHS Region 4,declining
2017-05-06,HHS Region 5,declining
2017-05-06,HHS Region 6,declining
2017-05-06,HHS Region 7,declining
2017-05-06,HHS Region 8,growing
2017-05-06,HHS Region 9,declining
2017-05-06,US National,declining
